LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01001869,1396,14.292,6,0.072,-0.2,0.326
E01001870,1835,16.892,6,0.096,-0.003,-0.45
E01001871,1619,12.278,7,0.091,-0.874,-0.548
E01001872,1569,15.605,6,0.083,-0.328,0.205
E01001873,1406,22.705,4,0.165,0.018,0.13
E01001874,2509,23.89,4,0.132,0.572,-0.345
E01001875,1831,33.544,2,0.215,0.24,0.804
E01001876,1881,37.345,2,0.208,0.905,0.28
E01001877,1322,33.33,2,0.202,0.456,0.743
E01001878,1584,34.751,2,0.241,0.57,0.085
E01001879,1420,22.554,4,0.159,0.039,0.19
E01001880,1486,21.14,5,0.159,0.07,0.559
E01001881,1794,14.937,6,0.06,-0.158,0.923
E01001882,1699,13.532,7,0.078,-0.727,0.35
E01001883,1395,23.378,4,0.17,0.565,-0.105
E01001884,1884,25.958,4,0.152,0.462,0.715
E01001885,1190,50.627,1,0.365,1.127,0.644
E01001886,1468,25.873,4,0.172,0.379,0.645
E01001887,1471,23.246,4,0.173,0.15,0.258
E01001888,1589,10.795,8,0.064,-0.518,-0.004
E01001889,1345,19.908,5,0.075,-0.333,1.415
E01001890,1822,13.675,7,0.061,-0.475,-0.289
E01001891,2112,11.44,7,0.037,-0.488,-0.033
E01001892,1327,28.411,3,0.193,0.425,-0.109
E01001893,1114,33.791,2,0.255,0.402,0.514
E01001894,1282,30.447,3,0.204,0.234,0.422
E01001895,1493,19.524,5,0.119,-0.181,0.404
E01001896,1528,22.043,4,0.153,-0.035,0.51
E01001897,1455,15.457,6,0.086,-0.168,0.602
E01001898,1627,22.222,4,0.129,0.345,0.141
E01001899,1360,43.244,2,0.262,1.125,0.715
E01001900,1698,36.348,2,0.217,1.194,0.364
E01001901,1662,10.834,8,0.061,-0.469,-0.223
E01001902,1648,15.69,6,0.092,0.194,-0.267
E01001903,1625,25.552,4,0.181,0.227,0.195
E01001904,1589,9.473,8,0.048,-0.81,0.127
E01001905,1673,7.147,9,0.044,-0.738,-0.224
E01001906,1377,9.619,8,0.061,-0.704,0.159
E01001907,1277,11.551,7,0.058,-0.26,0.63
E01001908,1549,17.008,6,0.08,0.088,0.396
E01001909,1925,22.51,4,0.14,0.355,0.494
E01001910,1433,18.415,5,0.104,-0.202,-0.225
E01001911,1805,34.648,2,0.285,0.585,-0.31
E01001912,1618,35.515,2,0.263,0.578,0.452
E01001913,1530,10.792,8,0.037,-0.102,0.345
E01001914,1702,19.977,5,0.106,0.039,0.287
